Terminal Code,Customer site.,Address,Postcode 
T588B030BE10G262,ธนาคารออมสิน,สน.ปตท.สนามเป้า  208/1 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400,10400
T429B030BE10G262,ธนาคารออมสิน,สำนักงานใหญ่ อาคาร 4 เครื่องที่ 2(G1) 470 ถนน พหลโยธิน แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,10400
T091B030B930G262,ธนาคารออมสิน,สาขาทับคล้อ(G1) 350/2-3 หมู่ที่ 9 ต.ทับคล้อ อ.ทับคล้อ จ.พิจิตร 66150,66150
T091B030B493G262,ธนาคารออมสิน,สาขาโพทะเล(G1) 763 หมู่ที่ 2 ถ.โพทะเล-บางมูลนากต.โพทะเล อ.โพทะเล จ.พิจิตร 66130,66130
T091B030B985G262,ธนาคารออมสิน,สาขาเทสโก้โลตัสพิษณุโลก ท่าทอง(G1) เทสโก้โลตัสเอ็กซ์ตร้า พิษณุโลก ท่าทอง 444 หมู่ที่ 6 ต.ท่าทอง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,65000
T092B030B928G262,ธนาคารออมสิน,สาขาเซ็นทรัล ลำปาง(G2) ห้องเลขที่ 225 ชั้น 2 โซนธนาคาร ศูนย์การค้าเซ็นทรัลพลาซา ลำปาง เลขที่ 319 ถ.ไฮเวย์-ลำปาง-งาว ต.สวนดอก อ.เมืองลำปาง จ.ลำปาง 52100,52100
T091B030B968G262,ธนาคารออมสิน,สาขาน้ำโท้ง(G1) 267/7 หมู่ที่ 5 ต.บ่อแฮ้ว อ.เมืองลำปาง จ.ลำปาง 52100,52100
T084B030BE52G262,ธนาคารออมสิน,7-Eleven สาขา อ.เมืองปาน (5209) 148 ม.7 ต.เมืองปาน อ.เมืองปาน จ.ลำปาง 52240 ,52240
T025B030BE51G262,ธนาคารออมสิน,ตลาดอินทร 228/24  ม.12 ถ.สันป่าฝ้าย-บ้านชิ ต.บ้างกลาง อ.เมือง จ.ลำพูน 51000,51000
T109B030BE50G262,ธนาคารออมสิน,ศูนย์การค้าแม็คโคร สาขาเชียงใหม่ 152  ต.หนองป่าครั่ง  อ.เมือง  จ.เชียงใหม่ 50000,50000
T092B030B535G262,ธนาคารออมสิน,"ธนาคารออมสิน สาขาหางดง(G2) 288 หมู่ที่ 3 ถ.เชียงใหม่-ฮอด ต.หางดง อ.หางดง จ.เชียงใหม่ 50230 0-5344-2071, 0-5344-2072 ",50230
T107B030BE50G262,ธนาคารออมสิน,สถานีขนส่งผู้โดยสารแห่งที่ 3 (อาเขต) จังหวัดเชียงใหม่ 3 ถ.แก้วนวรัตน์ ต.วัดเกต อ.เมือง จ.เชียงใหม่ 50000,50000
T091B030B980G262,ธนาคารออมสิน,สาขาแม่แจ่ม(G1) 9/2-3 หมู่ที่ 12 ต.ช่างเคิ่ง อ.แม่แจ่ม จ.เชียงใหม่ 50270,50270
T123B030BE50G262,ธนาคารออมสิน,สถาบันการเงินชุมชนบ้านดอน เลขที่ 11 ม.2 ต.โปร่งน้ำร้อน อ.ฝาง จ.เชียงใหม่ 50110,50110
T091B0301001G262,ธนาคารออมสิน,สาขาแม่ลาน้อย(G1) 73/3 หมู่ที่ 1 ต.แม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,58120
T091B030BE57G262,ธนาคารออมสิน,ด่านพรมแดนเชียงของ หมู่ 9 ต.เวียง อ.เชียงของ จ.เชียงราย 57140,57140
T092B030B963G262,ธนาคารออมสิน,สาขาบ้านดู่(G2) 287/3-5 หมู่ที่ 4 ต.บ้านดู่ อ.เมืองเชียงราย จ.เชียงราย 57100,57100
T055B030BE57G262,ธนาคารออมสิน,อาคารพาณิชย์ ย่านธุรกิจถนนสันโค้งหลวง ระหว่าง ซ.11 และ ซ.12 225/5 ม.16 ถ.สันโค้งหลวง ต.รอบเวียง อ.เมืองเชียงราย จ.เชียงราย 57000,57000
T091B030B972G262,ธนาคารออมสิน,สาขาแม่ขะจาน(G1)  137/3 หมู่ที่ 1 ต.แม่เจดีย์ อ.เวียงป่าเป้า จ.เชียงราย 57260,57260
T091B030B946G262,ธนาคารออมสิน,สาขาทุ่งโฮ้ง(G1) 307/6 หมู่ที่ 2 ถ.ยันตรกิจโกศล ต.ทุ่งโฮ้ง อ.เมือง จ.แพร่ 54000,54000
T050B030BE19G262,ธนาคารออมสิน,7-Eleven สาขาเฉลิมพระเกียรติสระบุรี (11562)   1/23 หมู่ 1 ต.เขาดินพัฒนา อ.เฉลิมพระเกียรติ จ.สระบุรี 18000,18000
T097B030BE30G262,ธนาคารออมสิน,โรงพยาบาลค่ายสุรนารี  อาคารเฉลิมพระเกียรติ 72 พรรษา  ถ.พิบูลละเอียด ต.หนองไผ่ล้อม อ.เมือง จ.นครราชสีมา 30000,30000
T121B030BE30G262,ธนาคารออมสิน,ร้านภูรินทร์ อินเตอร์เน็ต 222 ม.9 ต.เทพาลัย อ.คง จ.นครราชสีมา 30260,30260
